date,state,market,commodity,min_price,max_price,modal_price,unit
2026-05-23,Madhya Pradesh,Indore,Wheat,2118,2452,2280,Rs./quintal
2026-05-26,Madhya Pradesh,Indore,Wheat,2178,2474,2330,Rs./quintal
2026-05-29,Madhya Pradesh,Indore,Wheat,2128,2450,2294,Rs./quintal
2026-06-01,Madhya Pradesh,Indore,Wheat,2224,2450,2319,Rs./quintal
2026-06-04,Madhya Pradesh,Indore,Wheat,2101,2314,2244,Rs./quintal
2026-06-07,Madhya Pradesh,Indore,Wheat,2287,2543,2373,Rs./quintal
2026-06-10,Madhya Pradesh,Indore,Wheat,2111,2456,2287,Rs./quintal
2026-06-13,Madhya Pradesh,Indore,Wheat,2196,2505,2376,Rs./quintal
2026-06-16,Madhya Pradesh,Indore,Wheat,2159,2408,2254,Rs./quintal
2026-06-19,Madhya Pradesh,Indore,Wheat,2135,2392,2262,Rs./quintal
2026-06-22,Madhya Pradesh,Indore,Wheat,2198,2398,2281,Rs./quintal
2026-06-25,Madhya Pradesh,Indore,Wheat,2153,2425,2274,Rs./quintal
2026-06-28,Madhya Pradesh,Indore,Wheat,2126,2453,2272,Rs./quintal
2026-07-01,Madhya Pradesh,Indore,Wheat,2232,2502,2370,Rs./quintal
2026-07-04,Madhya Pradesh,Indore,Wheat,2137,2403,2295,Rs./quintal
2026-07-07,Madhya Pradesh,Indore,Wheat,2199,2458,2361,Rs./quintal
2026-07-10,Madhya Pradesh,Indore,Wheat,2177,2383,2288,Rs./quintal
2026-07-13,Madhya Pradesh,Indore,Wheat,2317,2487,2406,Rs./quintal
2026-07-16,Madhya Pradesh,Indore,Wheat,2204,2406,2312,Rs./quintal
2026-07-19,Madhya Pradesh,Indore,Wheat,2221,2431,2297,Rs./quintal
2026-07-22,Madhya Pradesh,Indore,Wheat,2249,2510,2345,Rs./quintal
2026-07-25,Madhya Pradesh,Indore,Wheat,2132,2424,2305,Rs./quintal
2026-07-28,Madhya Pradesh,Indore,Wheat,2206,2493,2338,Rs./quintal
2026-07-31,Madhya Pradesh,Indore,Wheat,2300,2456,2373,Rs./quintal
2026-02-01,Madhya Pradesh,Indore,Rice,2318,2509,2407,Rs./quintal
2026-02-04,Madhya Pradesh,Indore,Rice,2251,2511,2389,Rs./quintal
2026-02-07,Madhya Pradesh,Indore,Rice,2237,2582,2399,Rs./quintal
2026-02-10,Madhya Pradesh,Indore,Rice,2330,2558,2419,Rs./quintal
2026-02-13,Madhya Pradesh,Indore,Rice,2301,2542,2372,Rs./quintal
2026-02-16,Madhya Pradesh,Indore,Rice,2399,2663,2483,Rs./quintal
2026-02-19,Madhya Pradesh,Indore,Rice,2253,2483,2386,Rs./quintal
2026-02-22,Madhya Pradesh,Indore,Rice,2228,2532,2414,Rs./quintal
2026-02-25,Madhya Pradesh,Indore,Rice,2319,2657,2485,Rs./quintal
2026-02-28,Madhya Pradesh,Indore,Rice,2279,2610,2421,Rs./quintal
2026-03-03,Madhya Pradesh,Indore,Rice,2380,2677,2511,Rs./quintal
2026-03-06,Madhya Pradesh,Indore,Rice,2251,2597,2408,Rs./quintal
2026-03-09,Madhya Pradesh,Indore,Rice,2330,2626,2460,Rs./quintal
2026-03-12,Madhya Pradesh,Indore,Rice,2274,2528,2396,Rs./quintal
2026-03-15,Madhya Pradesh,Indore,Rice,2314,2689,2494,Rs./quintal
2026-03-18,Madhya Pradesh,Indore,Rice,2229,2542,2399,Rs./quintal
2026-03-21,Madhya Pradesh,Indore,Rice,2303,2561,2472,Rs./quintal
2026-03-24,Madhya Pradesh,Indore,Rice,2329,2647,2498,Rs./quintal
2026-03-27,Madhya Pradesh,Indore,Rice,2319,2611,2465,Rs./quintal
2026-03-30,Madhya Pradesh,Indore,Rice,2371,2552,2453,Rs./quintal
2026-04-02,Madhya Pradesh,Indore,Rice,2332,2627,2502,Rs./quintal
2026-04-05,Madhya Pradesh,Indore,Rice,2334,2610,2496,Rs./quintal
2026-04-08,Madhya Pradesh,Indore,Rice,2315,2639,2506,Rs./quintal
2026-04-11,Madhya Pradesh,Indore,Rice,2460,2622,2537,Rs./quintal
2026-04-14,Madhya Pradesh,Indore,Rice,2276,2626,2439,Rs./quintal
2026-04-17,Madhya Pradesh,Indore,Rice,2431,2644,2522,Rs./quintal
2026-04-20,Madhya Pradesh,Indore,Rice,2340,2592,2433,Rs./quintal
2026-04-23,Madhya Pradesh,Indore,Rice,2413,2645,2489,Rs./quintal
2026-04-26,Madhya Pradesh,Indore,Rice,2320,2523,2414,Rs./quintal
2026-04-29,Madhya Pradesh,Indore,Rice,2413,2587,2495,Rs./quintal
2026-05-02,Madhya Pradesh,Indore,Rice,2269,2593,2452,Rs./quintal
2026-05-05,Madhya Pradesh,Indore,Rice,2348,2634,2471,Rs./quintal
2026-05-08,Madhya Pradesh,Indore,Rice,2344,2569,2463,Rs./quintal
2026-05-11,Madhya Pradesh,Indore,Rice,2411,2679,2498,Rs./quintal
2026-05-14,Madhya Pradesh,Indore,Rice,2305,2556,2449,Rs./quintal
2026-05-17,Madhya Pradesh,Indore,Rice,2337,2589,2438,Rs./quintal
2026-05-20,Madhya Pradesh,Indore,Rice,2364,2612,2470,Rs./quintal
2026-05-23,Madhya Pradesh,Indore,Rice,2293,2575,2491,Rs./quintal
2026-05-26,Madhya Pradesh,Indore,Rice,2459,2694,2548,Rs./quintal
2026-05-29,Madhya Pradesh,Indore,Rice,2412,2636,2541,Rs./quintal
2026-06-01,Madhya Pradesh,Indore,Rice,2318,2664,2478,Rs./quintal
2026-06-04,Madhya Pradesh,Indore,Rice,2467,2754,2562,Rs./quintal
2026-06-07,Madhya Pradesh,Indore,Rice,2320,2575,2488,Rs./quintal
2026-06-10,Madhya Pradesh,Indore,Rice,2468,2689,2560,Rs./quintal
2026-06-13,Madhya Pradesh,Indore,Rice,2356,2734,2540,Rs./quintal
2026-06-16,Madhya Pradesh,Indore,Rice,2491,2752,2571,Rs./quintal
2026-06-19,Madhya Pradesh,Indore,Rice,2370,2745,2573,Rs./quintal
2026-06-22,Madhya Pradesh,Indore,Rice,2419,2678,2503,Rs./quintal
2026-06-25,Madhya Pradesh,Indore,Rice,2470,2682,2571,Rs./quintal
2026-06-28,Madhya Pradesh,Indore,Rice,2370,2750,2561,Rs./quintal
2026-07-01,Madhya Pradesh,Indore,Rice,2417,2780,2596,Rs./quintal
2026-07-04,Madhya Pradesh,Indore,Rice,2380,2723,2545,Rs./quintal
2026-07-07,Madhya Pradesh,Indore,Rice,2317,2615,2515,Rs./quintal
2026-07-10,Madhya Pradesh,Indore,Rice,2435,2726,2528,Rs./quintal
2026-07-13,Madhya Pradesh,Indore,Rice,2401,2648,2522,Rs./quintal
2026-07-16,Madhya Pradesh,Indore,Rice,2472,2812,2611,Rs./quintal
2026-07-19,Madhya Pradesh,Indore,Rice,2422,2598,2501,Rs./quintal
2026-07-22,Madhya Pradesh,Indore,Rice,2435,2701,2609,Rs./quintal
2026-07-25,Madhya Pradesh,Indore,Rice,2431,2658,2542,Rs./quintal
2026-07-28,Madhya Pradesh,Indore,Rice,2423,2689,2563,Rs./quintal
2026-07-31,Madhya Pradesh,Indore,Rice,2388,2728,2560,Rs./quintal
2026-02-01,Madhya Pradesh,Indore,Soybean,4034,4541,4260,Rs./quintal
2026-02-04,Madhya Pradesh,Indore,Soybean,3991,4387,4185,Rs./quintal
2026-02-07,Madhya Pradesh,Indore,Soybean,3727,4092,3910,Rs./quintal
2026-02-10,Madhya Pradesh,Indore,Soybean,3859,4275,4010,Rs./quintal
2026-02-13,Madhya Pradesh,Indore,Soybean,3746,4206,4004,Rs./quintal
2026-02-16,Madhya Pradesh,Indore,Soybean,3782,4193,4046,Rs./quintal
2026-02-19,Madhya Pradesh,Indore,Soybean,3919,4312,4053,Rs./quintal
2026-02-22,Madhya Pradesh,Indore,Soybean,4041,4441,4250,Rs./quintal
2026-02-25,Madhya Pradesh,Indore,Soybean,3777,4287,4105,Rs./quintal
2026-02-28,Madhya Pradesh,Indore,Soybean,3850,4312,4057,Rs./quintal
2026-03-03,Madhya Pradesh,Indore,Soybean,3759,4152,3990,Rs./quintal
2026-03-06,Madhya Pradesh,Indore,Soybean,3853,4272,3993,Rs./quintal
2026-03-09,Madhya Pradesh,Indore,Soybean,3579,4088,3872,Rs./quintal
2026-03-12,Madhya Pradesh,Indore,Soybean,3800,4345,4057,Rs./quintal
2026-03-15,Madhya Pradesh,Indore,Soybean,3915,4274,4105,Rs./quintal
2026-03-18,Madhya Pradesh,Indore,Soybean,3578,4048,3884,Rs./quintal
2026-03-21,Madhya Pradesh,Indore,Soybean,3844,4128,3994,Rs./quintal
2026-03-24,Madhya Pradesh,Indore,Soybean,3777,4128,3970,Rs./quintal
2026-03-27,Madhya Pradesh,Indore,Soybean,3857,4255,4083,Rs./quintal
2026-03-30,Madhya Pradesh,Indore,Soybean,3742,4341,4066,Rs./quintal
2026-04-02,Madhya Pradesh,Indore,Soybean,3729,4237,4030,Rs./quintal
2026-04-05,Madhya Pradesh,Indore,Soybean,3675,4009,3797,Rs./quintal
2026-04-08,Madhya Pradesh,Indore,Soybean,3494,4018,3747,Rs./quintal
2026-04-11,Madhya Pradesh,Indore,Soybean,3751,4155,3907,Rs./quintal
2026-04-14,Madhya Pradesh,Indore,Soybean,3908,4434,4115,Rs./quintal
2026-04-17,Madhya Pradesh,Indore,Soybean,3877,4347,4078,Rs./quintal
2026-04-20,Madhya Pradesh,Indore,Soybean,3775,4151,3926,Rs./quintal
2026-04-23,Madhya Pradesh,Indore,Soybean,3905,4299,4080,Rs./quintal
2026-04-26,Madhya Pradesh,Indore,Soybean,3570,4066,3829,Rs./quintal
2026-04-29,Madhya Pradesh,Indore,Soybean,3811,4275,4028,Rs./quintal
2026-05-02,Madhya Pradesh,Indore,Soybean,3473,3925,3759,Rs./quintal
2026-05-05,Madhya Pradesh,Indore,Soybean,3517,3972,3758,Rs./quintal
2026-05-08,Madhya Pradesh,Indore,Soybean,3452,3946,3706,Rs./quintal
2026-05-11,Madhya Pradesh,Indore,Soybean,3624,4123,3925,Rs./quintal
2026-05-14,Madhya Pradesh,Indore,Soybean,3633,4018,3862,Rs./quintal
2026-05-17,Madhya Pradesh,Indore,Soybean,3682,4041,3815,Rs./quintal
2026-05-20,Madhya Pradesh,Indore,Soybean,3775,4189,3921,Rs./quintal
2026-05-23,Madhya Pradesh,Indore,Soybean,3496,3980,3799,Rs./quintal
2026-05-26,Madhya Pradesh,Indore,Soybean,3796,4249,3943,Rs./quintal
2026-05-29,Madhya Pradesh,Indore,Soybean,3651,4033,3814,Rs./quintal
2026-06-01,Madhya Pradesh,Indore,Soybean,3544,3963,3807,Rs./quintal
2026-06-04,Madhya Pradesh,Indore,Soybean,3450,3919,3744,Rs./quintal
2026-06-07,Madhya Pradesh,Indore,Soybean,3607,3983,3836,Rs./quintal
2026-06-10,Madhya Pradesh,Indore,Soybean,3479,3986,3756,Rs./quintal
2026-06-13,Madhya Pradesh,Indore,Soybean,3374,3799,3590,Rs./quintal
2026-06-16,Madhya Pradesh,Indore,Soybean,3418,3722,3590,Rs./quintal
2026-06-19,Madhya Pradesh,Indore,Soybean,3463,3938,3754,Rs./quintal
2026-06-22,Madhya Pradesh,Indore,Soybean,3427,3909,3660,Rs./quintal
2026-06-25,Madhya Pradesh,Indore,Soybean,3565,3990,3723,Rs./quintal
2026-06-28,Madhya Pradesh,Indore,Soybean,3396,3789,3675,Rs./quintal
2026-07-01,Madhya Pradesh,Indore,Soybean,3597,3884,3708,Rs./quintal
2026-07-04,Madhya Pradesh,Indore,Soybean,3596,3984,3749,Rs./quintal
2026-07-07,Madhya Pradesh,Indore,Soybean,3664,3938,3787,Rs./quintal
2026-07-10,Madhya Pradesh,Indore,Soybean,3262,3644,3516,Rs./quintal
2026-07-13,Madhya Pradesh,Indore,Soybean,3561,3910,3756,Rs./quintal
2026-07-16,Madhya Pradesh,Indore,Soybean,3610,3912,3767,Rs./quintal
2026-07-19,Madhya Pradesh,Indore,Soybean,3574,3866,3733,Rs./quintal
2026-07-22,Madhya Pradesh,Indore,Soybean,3690,3946,3811,Rs./quintal
2026-07-25,Madhya Pradesh,Indore,Soybean,3291,3743,3518,Rs./quintal
2026-07-28,Madhya Pradesh,Indore,Soybean,3630,4116,3862,Rs./quintal
2026-07-31,Madhya Pradesh,Indore,Soybean,3376,3754,3537,Rs./quintal
2026-02-01,Madhya Pradesh,Indore,Onion,1399,1541,1454,Rs./quintal
2026-02-04,Madhya Pradesh,Indore,Onion,1154,1273,1191,Rs./quintal
2026-02-07,Madhya Pradesh,Indore,Onion,1208,1345,1283,Rs./quintal
2026-02-10,Madhya Pradesh,Indore,Onion,1262,1445,1347,Rs./quintal
2026-02-13,Madhya Pradesh,Indore,Onion,1364,1589,1474,Rs./quintal
2026-02-16,Madhya Pradesh,Indore,Onion,1345,1490,1399,Rs./quintal
2026-02-19,Madhya Pradesh,Indore,Onion,1261,1421,1318,Rs./quintal
2026-02-22,Madhya Pradesh,Indore,Onion,1202,1323,1252,Rs./quintal
2026-02-25,Madhya Pradesh,Indore,Onion,1260,1427,1338,Rs./quintal
2026-02-28,Madhya Pradesh,Indore,Onion,1204,1340,1251,Rs./quintal
2026-03-03,Madhya Pradesh,Indore,Onion,1203,1301,1248,Rs./quintal
2026-03-06,Madhya Pradesh,Indore,Onion,1340,1479,1410,Rs./quintal
2026-03-09,Madhya Pradesh,Indore,Onion,1177,1271,1223,Rs./quintal
2026-03-12,Madhya Pradesh,Indore,Onion,1250,1363,1302,Rs./quintal
2026-03-15,Madhya Pradesh,Indore,Onion,1517,1658,1588,Rs./quintal
2026-03-18,Madhya Pradesh,Indore,Onion,1176,1258,1216,Rs./quintal
2026-03-21,Madhya Pradesh,Indore,Onion,1435,1622,1519,Rs./quintal
2026-03-24,Madhya Pradesh,Indore,Onion,1434,1588,1506,Rs./quintal
2026-03-27,Madhya Pradesh,Indore,Onion,1433,1614,1550,Rs./quintal
2026-03-30,Madhya Pradesh,Indore,Onion,1410,1596,1507,Rs./quintal
2026-04-02,Madhya Pradesh,Indore,Onion,1418,1575,1498,Rs./quintal
2026-04-05,Madhya Pradesh,Indore,Onion,1519,1728,1622,Rs./quintal
2026-04-08,Madhya Pradesh,Indore,Onion,1312,1458,1407,Rs./quintal
2026-04-11,Madhya Pradesh,Indore,Onion,1270,1449,1371,Rs./quintal
2026-04-14,Madhya Pradesh,Indore,Onion,1514,1695,1629,Rs./quintal
2026-04-17,Madhya Pradesh,Indore,Onion,1437,1621,1503,Rs./quintal
2026-04-20,Madhya Pradesh,Indore,Onion,1422,1575,1522,Rs./quintal
2026-04-23,Madhya Pradesh,Indore,Onion,1278,1425,1372,Rs./quintal
2026-04-26,Madhya Pradesh,Indore,Onion,1221,1346,1290,Rs./quintal
2026-04-29,Madhya Pradesh,Indore,Onion,1635,1837,1725,Rs./quintal
2026-05-02,Madhya Pradesh,Indore,Onion,1370,1500,1422,Rs./quintal
2026-05-05,Madhya Pradesh,Indore,Onion,1689,1875,1780,Rs./quintal
2026-05-08,Madhya Pradesh,Indore,Onion,1461,1623,1572,Rs./quintal
2026-05-11,Madhya Pradesh,Indore,Onion,1711,1942,1813,Rs./quintal
2026-05-14,Madhya Pradesh,Indore,Onion,1435,1648,1553,Rs./quintal
2026-05-17,Madhya Pradesh,Indore,Onion,1286,1468,1387,Rs./quintal
2026-05-20,Madhya Pradesh,Indore,Onion,1461,1561,1507,Rs./quintal
2026-05-23,Madhya Pradesh,Indore,Onion,1642,1848,1728,Rs./quintal
2026-05-26,Madhya Pradesh,Indore,Onion,1390,1546,1469,Rs./quintal
2026-05-29,Madhya Pradesh,Indore,Onion,1516,1699,1574,Rs./quintal
2026-06-01,Madhya Pradesh,Indore,Onion,1520,1695,1598,Rs./quintal
2026-06-04,Madhya Pradesh,Indore,Onion,1760,1892,1819,Rs./quintal
2026-06-07,Madhya Pradesh,Indore,Onion,1477,1609,1550,Rs./quintal
2026-06-10,Madhya Pradesh,Indore,Onion,1414,1577,1531,Rs./quintal
2026-06-13,Madhya Pradesh,Indore,Onion,1588,1747,1672,Rs./quintal
2026-06-16,Madhya Pradesh,Indore,Onion,1490,1662,1560,Rs./quintal
2026-06-19,Madhya Pradesh,Indore,Onion,1598,1802,1674,Rs./quintal
2026-06-22,Madhya Pradesh,Indore,Onion,1754,1960,1844,Rs./quintal
2026-06-25,Madhya Pradesh,Indore,Onion,1805,2028,1918,Rs./quintal
2026-06-28,Madhya Pradesh,Indore,Onion,1711,1898,1772,Rs./quintal
2026-07-01,Madhya Pradesh,Indore,Onion,1456,1639,1568,Rs./quintal
2026-07-04,Madhya Pradesh,Indore,Onion,1833,2019,1933,Rs./quintal
2026-07-07,Madhya Pradesh,Indore,Onion,1523,1700,1596,Rs./quintal
2026-07-10,Madhya Pradesh,Indore,Onion,1926,2149,2038,Rs./quintal
2026-07-13,Madhya Pradesh,Indore,Onion,1450,1654,1573,Rs./quintal
2026-07-16,Madhya Pradesh,Indore,Onion,1588,1762,1703,Rs./quintal
2026-07-19,Madhya Pradesh,Indore,Onion,1970,2168,2048,Rs./quintal
2026-07-22,Madhya Pradesh,Indore,Onion,1981,2172,2042,Rs./quintal
2026-07-25,Madhya Pradesh,Indore,Onion,1544,1789,1675,Rs./quintal
2026-07-28,Madhya Pradesh,Indore,Onion,1698,1918,1783,Rs./quintal
2026-07-31,Madhya Pradesh,Indore,Onion,1544,1727,1627,Rs./quintal
2026-02-01,Madhya Pradesh,Indore,Tomato,940,1050,1003,Rs./quintal
2026-02-04,Madhya Pradesh,Indore,Tomato,1233,1341,1281,Rs./quintal
2026-02-07,Madhya Pradesh,Indore,Tomato,1207,1392,1292,Rs./quintal
2026-02-10,Madhya Pradesh,Indore,Tomato,1278,1420,1349,Rs./quintal
2026-02-13,Madhya Pradesh,Indore,Tomato,1039,1197,1110,Rs./quintal
2026-02-16,Madhya Pradesh,Indore,Tomato,1090,1245,1153,Rs./quintal
2026-02-19,Madhya Pradesh,Indore,Tomato,1208,1340,1275,Rs./quintal
2026-02-22,Madhya Pradesh,Indore,Tomato,984,1120,1049,Rs./quintal
2026-02-25,Madhya Pradesh,Indore,Tomato,1206,1310,1259,Rs./quintal
2026-02-28,Madhya Pradesh,Indore,Tomato,1182,1286,1223,Rs./quintal
2026-03-03,Madhya Pradesh,Indore,Tomato,1295,1508,1398,Rs./quintal
2026-03-06,Madhya Pradesh,Indore,Tomato,1259,1402,1351,Rs./quintal
2026-03-09,Madhya Pradesh,Indore,Tomato,1252,1367,1321,Rs./quintal
2026-03-12,Madhya Pradesh,Indore,Tomato,1497,1632,1550,Rs./quintal
2026-03-15,Madhya Pradesh,Indore,Tomato,1055,1157,1097,Rs./quintal
2026-03-18,Madhya Pradesh,Indore,Tomato,1330,1468,1407,Rs./quintal
2026-03-21,Madhya Pradesh,Indore,Tomato,1423,1530,1468,Rs./quintal
2026-03-24,Madhya Pradesh,Indore,Tomato,1241,1422,1321,Rs./quintal
2026-03-27,Madhya Pradesh,Indore,Tomato,1252,1394,1299,Rs./quintal
2026-03-30,Madhya Pradesh,Indore,Tomato,1131,1239,1179,Rs./quintal
2026-04-02,Madhya Pradesh,Indore,Tomato,1551,1758,1641,Rs./quintal
2026-04-05,Madhya Pradesh,Indore,Tomato,1194,1353,1277,Rs./quintal
2026-04-08,Madhya Pradesh,Indore,Tomato,1585,1741,1678,Rs./quintal
2026-04-11,Madhya Pradesh,Indore,Tomato,1331,1502,1420,Rs./quintal
2026-04-14,Madhya Pradesh,Indore,Tomato,1342,1489,1423,Rs./quintal
2026-04-17,Madhya Pradesh,Indore,Tomato,1169,1296,1224,Rs./quintal
2026-04-20,Madhya Pradesh,Indore,Tomato,1198,1289,1249,Rs./quintal
2026-04-23,Madhya Pradesh,Indore,Tomato,1466,1643,1535,Rs./quintal
2026-04-26,Madhya Pradesh,Indore,Tomato,1273,1430,1335,Rs./quintal
2026-04-29,Madhya Pradesh,Indore,Tomato,1575,1720,1667,Rs./quintal
2026-05-02,Madhya Pradesh,Indore,Tomato,1436,1623,1512,Rs./quintal
2026-05-05,Madhya Pradesh,Indore,Tomato,1635,1834,1736,Rs./quintal
2026-05-08,Madhya Pradesh,Indore,Tomato,1419,1559,1484,Rs./quintal
2026-05-11,Madhya Pradesh,Indore,Tomato,1488,1690,1604,Rs./quintal
2026-05-14,Madhya Pradesh,Indore,Tomato,1681,1910,1794,Rs./quintal
2026-05-17,Madhya Pradesh,Indore,Tomato,1541,1717,1601,Rs./quintal
2026-05-20,Madhya Pradesh,Indore,Tomato,1623,1807,1728,Rs./quintal
2026-05-23,Madhya Pradesh,Indore,Tomato,1574,1764,1643,Rs./quintal
2026-05-26,Madhya Pradesh,Indore,Tomato,1136,1306,1230,Rs./quintal
2026-05-29,Madhya Pradesh,Indore,Tomato,1712,1884,1765,Rs./quintal
2026-06-01,Madhya Pradesh,Indore,Tomato,1469,1686,1588,Rs./quintal
2026-06-04,Madhya Pradesh,Indore,Tomato,1766,1995,1874,Rs./quintal
2026-06-07,Madhya Pradesh,Indore,Tomato,1747,2026,1894,Rs./quintal
2026-06-10,Madhya Pradesh,Indore,Tomato,1404,1552,1496,Rs./quintal
2026-06-13,Madhya Pradesh,Indore,Tomato,1567,1767,1652,Rs./quintal
2026-06-16,Madhya Pradesh,Indore,Tomato,1308,1520,1416,Rs./quintal
2026-06-19,Madhya Pradesh,Indore,Tomato,1593,1838,1709,Rs./quintal
2026-06-22,Madhya Pradesh,Indore,Tomato,1318,1458,1398,Rs./quintal
2026-06-25,Madhya Pradesh,Indore,Tomato,1355,1575,1472,Rs./quintal
2026-06-28,Madhya Pradesh,Indore,Tomato,1806,1965,1893,Rs./quintal
2026-07-01,Madhya Pradesh,Indore,Tomato,1613,1823,1721,Rs./quintal
2026-07-04,Madhya Pradesh,Indore,Tomato,1751,1939,1860,Rs./quintal
2026-07-07,Madhya Pradesh,Indore,Tomato,1865,2104,2005,Rs./quintal
2026-07-10,Madhya Pradesh,Indore,Tomato,1631,1853,1750,Rs./quintal
2026-07-13,Madhya Pradesh,Indore,Tomato,1759,1895,1814,Rs./quintal
2026-07-16,Madhya Pradesh,Indore,Tomato,2000,2191,2099,Rs./quintal
2026-07-19,Madhya Pradesh,Indore,Tomato,1725,1930,1808,Rs./quintal
2026-07-22,Madhya Pradesh,Indore,Tomato,1372,1523,1444,Rs./quintal
2026-07-25,Madhya Pradesh,Indore,Tomato,1913,2190,2047,Rs./quintal
2026-07-28,Madhya Pradesh,Indore,Tomato,1722,1951,1837,Rs./quintal
2026-07-31,Madhya Pradesh,Indore,Tomato,1762,1969,1847,Rs./quintal
2026-02-01,Madhya Pradesh,Bhopal,Wheat,2121,2397,2229,Rs./quintal
2026-02-04,Madhya Pradesh,Bhopal,Wheat,2061,2318,2203,Rs./quintal
2026-02-07,Madhya Pradesh,Bhopal,Wheat,2100,2271,2195,Rs./quintal
2026-02-10,Madhya Pradesh,Bhopal,Wheat,2065,2241,2157,Rs./quintal
2026-02-13,Madhya Pradesh,Bhopal,Wheat,2023,2304,2136,Rs./quintal
2026-02-16,Madhya Pradesh,Bhopal,Wheat,2113,2344,2188,Rs./quintal
2026-02-19,Madhya Pradesh,Bhopal,Wheat,2069,2268,2152,Rs./quintal
2026-02-22,Madhya Pradesh,Bhopal,Wheat,2129,2328,2224,Rs./quintal
2026-02-25,Madhya Pradesh,Bhopal,Wheat,2066,2213,2134,Rs./quintal
2026-02-28,Madhya Pradesh,Bhopal,Wheat,2162,2394,2245,Rs./quintal
2026-03-03,Madhya Pradesh,Bhopal,Wheat,2209,2441,2281,Rs./quintal
2026-03-06,Madhya Pradesh,Bhopal,Wheat,2110,2267,2199,Rs./quintal
2026-03-09,Madhya Pradesh,Bhopal,Wheat,2095,2363,2222,Rs./quintal
2026-03-12,Madhya Pradesh,Bhopal,Wheat,2126,2399,2240,Rs./quintal
2026-03-15,Madhya Pradesh,Bhopal,Wheat,2106,2371,2276,Rs./quintal
2026-03-18,Madhya Pradesh,Bhopal,Wheat,2077,2279,2154,Rs./quintal
2026-03-21,Madhya Pradesh,Bhopal,Wheat,2115,2347,2272,Rs./quintal
2026-03-24,Madhya Pradesh,Bhopal,Wheat,2182,2362,2260,Rs./quintal
2026-03-27,Madhya Pradesh,Bhopal,Wheat,2044,2375,2205,Rs./quintal
2026-03-30,Madhya Pradesh,Bhopal,Wheat,2070,2267,2191,Rs./quintal
2026-04-02,Madhya Pradesh,Bhopal,Wheat,2134,2424,2303,Rs./quintal
